feature_id	role	category	path	lines	bytes	sha256	public_or_runtime_entry	notes
reviewer:TEMPLATES_HANDOFF_MD	reviewer	templates	templates/handoff.md	50	2049	a42da999b61b22c92ea4a40757e40447853b7bcd34c0096ee81c5474aae7d9cc	True	公開入口または実行資産
reviewer:TEMPLATES_INDEPENDENT_REVIEW_MD	reviewer	templates	templates/independent-review.md	47	996	2f3c7a831f1e27cfa14138eada47eba5fde5f7f453b8c13ac3e65114e83e4da2	True	公開入口または実行資産
reviewer:TEMPLATES_PURPOSE_YAML	reviewer	templates	templates/purpose.yaml	11	295	2d53c1ee916e32b487bd8c15ededddcece2fcf6d822d80df0894bf41a71f0ac0	True	公開入口または実行資産
reviewer:TEMPLATES_REVIEW_CASE_MD	reviewer	templates	templates/review-case.md	105	2056	9054b79f2f9c275c6f92a55b7b38045d05ce3e05c374b46163917b55b1e8cd18	True	公開入口または実行資産
reviewer:TEMPLATES_REVIEWER_VERIFICATION_MD	reviewer	templates	templates/reviewer-verification.md	34	733	54fc7c573335b5186d5342d21df612c6062a19b7eaa45a71585903f3b9ad6ba3	True	公開入口または実行資産
reviewer:TEMPLATES_TRACEABILITY_YAML	reviewer	templates	templates/traceability.yaml	19	514	2221169b028c3237bd3c23f043ebf55890eafe9de327018206b4358ed6aed868	True	公開入口または実行資産
reviewer:TESTS_TEST_CLI_JSON_PY	reviewer	tests	tests/test_cli_json.py	36	1113	9a813267c3c0081375003619e10838d6f565d548e5a5746fce665ed1728144bf	False	配布・検証資産
reviewer:TESTS_TEST_CONTRACT_V1_2_PY	reviewer	tests	tests/test_contract_v1_2.py	48	1477	e630f8c07df3a860c618645f6b2b10ac7530051f3ccafb34ec89c1ef1a9eb82f	False	配布・検証資産
reviewer:TESTS_TEST_CYCLE_LIMIT_PY	reviewer	tests	tests/test_cycle_limit.py	29	847	10ad1d2706fba54ca969b5c2176d196ac4d180c56468497505141ffc55a9252f	False	配布・検証資産
reviewer:TESTS_TEST_DIGEST_PY	reviewer	tests	tests/test_digest.py	75	2592	61cca3b9b8b24a708bd7a305b5dc7a0b716336281083ffcc1c44554ecde2c80f	False	配布・検証資産
reviewer:TESTS_TEST_EVIDENCE_PY	reviewer	tests	tests/test_evidence.py	56	1747	2b1c084a2679a67901a3f442cd0ca6f22bf629e27ee22144ff841f1c3f77c379	False	配布・検証資産
reviewer:TESTS_TEST_FRESHNESS_PY	reviewer	tests	tests/test_freshness.py	81	2421	6d2797c69a548d1f9dcdb08d3287b2953ec748c6ea3ddab9d3928c3dbd3d27f2	False	配布・検証資産
reviewer:TESTS_TEST_HANDOFF_CONTRACT_PY	reviewer	tests	tests/test_handoff_contract.py	46	1793	6943440316456b41d0cb8a4c4f093b4409fb79828da2664635e7814a1f2ba27b	False	配布・検証資産
reviewer:TESTS_TEST_HANDOFF_VALIDATOR_PY	reviewer	tests	tests/test_handoff_validator.py	47	1775	0be540db3f4c91aa160ea3c4e2fbaeb5f71ad9663a46248c52e744eb5820df1e	False	配布・検証資産
reviewer:TESTS_TEST_LEGACY_ADAPTER_PY	reviewer	tests	tests/test_legacy_adapter.py	39	1256	3b9f58ea48a6427aaab65b53d54673368555f6da9b337f9d030ebb1219ca6b2f	False	配布・検証資産
reviewer:TESTS_TEST_LINK_VALIDATOR_PY	reviewer	tests	tests/test_link_validator.py	22	868	b9c90a415a28593ecb0e45a585c6603ead3582e33606d58280a0db14743919f7	False	配布・検証資産
reviewer:TESTS_TEST_OPENSPEC_BRIDGE_PY	reviewer	tests	tests/test_openspec_bridge.py	30	1274	826b7f85b2327dbe19936066dbb91e24c7884647f083e41d438de3a506b11cd6	False	配布・検証資産
reviewer:TESTS_TEST_SECRET_GUARD_PY	reviewer	tests	tests/test_secret_guard.py	24	773	56972fb5a6d0efcd0b08762b73d5bc3491119024fa3a3562b0d193959a79863a	False	配布・検証資産
reviewer:TESTS_TEST_STATE_MACHINE_PY	reviewer	tests	tests/test_state_machine.py	50	1625	632fdbc25ee87af5bb2b9c29f3b8a58e5e03fbe0a0e7ab8a696faf493a99fe0f	False	配布・検証資産
reviewer:TESTS_TEST_SUBMISSION_VALIDATOR_PY	reviewer	tests	tests/test_submission_validator.py	78	2662	a650587adeb9922c81d578146f47ff4726eb0b51f840a93c6be164912012e524	False	配布・検証資産
reviewer:TESTS_TEST_TERMINAL_RECORD_PY	reviewer	tests	tests/test_terminal_record.py	42	1386	95e82c8184078a61a13bf62cb0b65645d5c160e4c0bbe3ac33b84e2a14d4e874	False	配布・検証資産
reviewer:TESTS_TEST_VALIDATION_PY	reviewer	tests	tests/test_validation.py	46	1594	7b464192b9348efb78975b85957b768be1a1ce6279e282ffee7803258a06743e	False	配布・検証資産
